项目ID,项目,日期,事件类型,事件,说明,资料标题,资料链接
GL089,NiWest Nickel-Cobalt Project NiWest镍钴项目,2026,运营变化,规划中或可研,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-089 · 总表第90行,library/global-register.csv
GL090,Sconi Cobalt-Nickel-Scandium Project 斯科尼(Sconi)钴镍钪项目,2023,运营变化,规划中或可研,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-090 · 总表第91行,library/global-register.csv
GL091,Sunrise Nickel-Cobalt Project (formerly Clean TeQ Sunrise) 日出(Sunrise)镍钴项目（原Clean TeQ Sunrise项目，与Syerston钪项目同一矿区）,2026,运营变化,规划中或可研,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-091 · 总表第92行,library/global-register.csv
GL092,TECH Project (Townsville Energy Chemicals Hub) 昆士兰太平洋金属公司(QPM) TECH项目（汤斯维尔能源化工枢纽）,2025,运营变化,规划中或可研,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-092 · 总表第93行,library/global-register.csv
GL093,Wingellina Nickel-Cobalt Project (Central Musgrave Project) 温杰利纳(中马斯格雷夫)镍钴项目,2024,运营变化,规划中或可研,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-093 · 总表第94行,library/global-register.csv
GL094,"Canadian Copper Company Copper Cliff Smelter (1888 original plant) 加拿大铜业公司科珀克利夫冶炼厂(1888年原始厂,萨德伯里首座冶炼厂)",1888,投产,开始生产（底表投产年）,"加拿大铜业公司科珀克利夫冶炼厂(1888年原始厂,萨德伯里首座冶炼厂)的底表投产年份；试产、商业投产及前身设施的区分见历史正文。",全球普查底表 · NI-094 · 总表第95行,library/global-register.csv
GL094,"Canadian Copper Company Copper Cliff Smelter (1888 original plant) 加拿大铜业公司科珀克利夫冶炼厂(1888年原始厂,萨德伯里首座冶炼厂)",1902,运营变化,已拆除,"1902年加拿大铜业公司、奥福德铜业公司与美国镍业公司合并组建国际镍公司(INCO)后,原始19世纪厂房设备历经INCO及后续Vale历代技术改造与重建(如1948-1963年运营的烧结厂、历次现代化熔炼技术更新等),1888年原始设施本身已不复存在;本记录状态年份(1902)仅标志加拿大铜业公司作为独立企业实体及其原始技术阶段的终结,厂址物理生产活动并未真正中断,而是由后继者(INCO、Vale)在同一场地持续经营至今(现状请参见本普查现行『Copper Cliff Smelter Complex』记录)",全球普查底表 · NI-094 · 总表第95行,library/global-register.csv
GL095,Copper Cliff Smelter Complex (Vale Sudbury Complex) 铜崖冶炼厂综合体（萨德伯里）,1888,投产,开始生产（底表投产年）,铜崖冶炼厂综合体（萨德伯里）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-095 · 总表第96行,library/global-register.csv
GL095,Copper Cliff Smelter Complex (Vale Sudbury Complex) 铜崖冶炼厂综合体（萨德伯里）,2026,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-095 · 总表第96行,library/global-register.csv
GL096,Mond Nickel Company Victoria Mines Smelter 蒙德镍业公司维多利亚矿区冶炼厂,1901,投产,开始生产（底表投产年）,蒙德镍业公司维多利亚矿区冶炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-096 · 总表第97行,library/global-register.csv
GL096,Mond Nickel Company Victoria Mines Smelter 蒙德镍业公司维多利亚矿区冶炼厂,1913,运营变化,已拆除,"加尔森(Garson)矿产量超过维多利亚矿,冶炼厂选址距新主力矿区过远,蒙德镍业公司决定在科尼斯顿新建冶炼厂承接产能;维多利亚矿区厂大部分建筑物被拆除并迁至科尼斯顿或沃辛顿(Worthington)",全球普查底表 · NI-096 · 总表第97行,library/global-register.csv
GL097,Deloro Smelting and Refining Company 德洛罗冶炼精炼公司（钴/银/砷为主，镍为伴生，存疑收录）,1906,投产,开始生产（底表投产年）,德洛罗冶炼精炼公司（钴/银/砷为主，镍为伴生，存疑收录）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-097 · 总表第98行,library/global-register.csv
GL097,Deloro Smelting and Refining Company 德洛罗冶炼精炼公司（钴/银/砷为主，镍为伴生，存疑收录）,1961,运营变化,已拆除,1956年主营的司太立特合金业务迁往Belleville后，Deloro厂区业务萎缩，1961年3月关闭。,全球普查底表 · NI-097 · 总表第98行,library/global-register.csv
GL098,Coniston Smelter 科尼斯顿冶炼厂,1913,投产,开始生产（底表投产年）,科尼斯顿冶炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-098 · 总表第99行,library/global-register.csv
GL098,Coniston Smelter 科尼斯顿冶炼厂,1976,运营变化,已拆除,1972年1月28日Inco宣布因安大略省政府环保排放限制趋严、且老厂效率低于Copper Cliff新厂而关闭；1972年4月16日完成末班生产。厂区曾作为'备用'冶炼厂保留一段时间，1976年被拆除，部分建筑(更衣室、办公室、动力房、1954/1959年烟囱、仓库等)被保留改造为工业园区。,全球普查底表 · NI-098 · 总表第99行,library/global-register.csv
GL099,"British America Nickel Corporation – Deschênes, Quebec Hybinette Refinery 英美镍业公司魁北克德申海宾内特法精炼厂",1916,投产,开始生产（底表投产年）,英美镍业公司魁北克德申海宾内特法精炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-099 · 总表第100行,library/global-register.csv
GL099,"British America Nickel Corporation – Deschênes, Quebec Hybinette Refinery 英美镍业公司魁北克德申海宾内特法精炼厂",1923,运营变化,已拆除,"1923年加拿大总理麦肯齐·金下令关闭该厂,具体政策/经济原因来源未详述(推测与一战后镍价下跌、公司经营困难及国防/产业政策调整有关);翌年母公司清盘,厂房废墟保留至1985年被清除",全球普查底表 · NI-099 · 总表第100行,library/global-register.csv
GL100,Port Colborne Nickel Refinery 科尔本港镍精炼厂,1918,投产,开始生产（底表投产年）,科尔本港镍精炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-100 · 总表第101行,library/global-register.csv
GL100,Port Colborne Nickel Refinery 科尔本港镍精炼厂,1984,运营变化,减产或部分停产,多来源存在矛盾：一说'电解精炼于1984年停止'(Smith v. Inco判例文书称'in commission between 1918-1984')。本轮通过Vale官方现役业务页面(valebasemetals.com、vale.com)独立核实2024-2026年该厂当前业务范围，两份官网现均只描述该厂从事：电积钴(electro-cobalt)生产、贵金属及微量金属加工处理、以及镍'成品'的制造/包装/分销——均未提及任何形式的原生电解镍精炼或电积镍生产。这一现状描述与'电解镍精炼已于1984年停止'的判例记载相互印证，支持'该厂已从原生电解镍精炼转型为钴/贵金属精炼+镍产品加工分销'这一结论；但官网本身未直接给出转型的具体年份，故'1984年'仍为间接推断而非官网自证，两类信息未能完全调和，仍建议标注为'较大概率成立但未100%确证'。,全球普查底表 · NI-100 · 总表第101行,library/global-register.csv
GL101,British America Nickel Corporation – Nickelton Smelter 英美镍业公司镍尔顿(Nickelton)冶炼厂(默里矿区),1920,投产,开始生产（底表投产年）,英美镍业公司镍尔顿(Nickelton)冶炼厂(默里矿区)的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-101 · 总表第102行,library/global-register.csv
GL101,British America Nickel Corporation – Nickelton Smelter 英美镍业公司镍尔顿(Nickelton)冶炼厂(默里矿区),1924,运营变化,已拆除,"一战结束后国际镍价大幅下跌,英美镍业公司难以与国际镍公司(INCO)、蒙德镍业公司竞争,1924年7月公司清盘解散",全球普查底表 · NI-101 · 总表第102行,library/global-register.csv
GL102,Sudbury Smelter (Falconbridge / Glencore Sudbury Integrated Nickel Operations) 萨德伯里冶炼厂（原Falconbridge，现Glencore萨德伯里一体化镍业务）,1930,投产,开始生产（底表投产年）,萨德伯里冶炼厂（原Falconbridge，现Glencore萨德伯里一体化镍业务）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-102 · 总表第103行,library/global-register.csv
GL102,Sudbury Smelter (Falconbridge / Glencore Sudbury Integrated Nickel Operations) 萨德伯里冶炼厂（原Falconbridge，现Glencore萨德伯里一体化镍业务）,2026,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-102 · 总表第103行,library/global-register.csv
GL103,Sherritt Fort Saskatchewan Metals Processing Plant 谢里特堡萨斯喀彻温精炼厂,1954,投产,开始生产（底表投产年）,谢里特堡萨斯喀彻温精炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-103 · 总表第104行,library/global-register.csv
GL103,Sherritt Fort Saskatchewan Metals Processing Plant 谢里特堡萨斯喀彻温精炼厂,2026,运营变化,停产(可复产),根本原因是原料链断裂：2026年2月古巴Moa因燃料短缺已暂停部分采选活动；2026年5月7日美国行政令扩大对古巴制裁后，Sherritt宣布暂停在Moa和Energas合资企业的直接参与；随着库存混合硫化物于2026年6月中旬耗尽，Fort Saskatchewan炼厂于2026年6月22日停止镍钴精炼生产。公司表示将保留人员和设施'安全稳定状态'，待Moa采选恢复、原料管道重建后择机复产，但未给出具体复产时间表。停产期间厂区继续利用现有装置对外销售化肥和硫酸维持部分现金流。,全球普查底表 · NI-103 · 总表第104行,library/global-register.csv
GL104,Thompson Refinery 汤普森精炼厂,1961,投产,开始生产（底表投产年）,汤普森精炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-104 · 总表第105行,library/global-register.csv
GL104,Thompson Refinery 汤普森精炼厂,2018,运营变化,永久关闭,与同址冶炼厂同步于2018年关闭，原因相同(设施老旧、环保改造成本高、集团加工网络整合至萨德伯里/Long Harbour)。,全球普查底表 · NI-104 · 总表第105行,library/global-register.csv
GL105,Thompson Smelter 汤普森冶炼厂,1961,投产,开始生产（底表投产年）,汤普森冶炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-105 · 总表第106行,library/global-register.csv
GL105,Thompson Smelter 汤普森冶炼厂,2018,运营变化,永久关闭,Vale于2015年宣布计划关闭汤普森冶炼和精炼环节(仅保留采选)；据USGS Minerals Yearbook记载，因加拿大新颁布的SO2排放法规，Vale已于2017年关闭厂内第一台熔炼炉，并计划于2018年下半年关闭剩余熔炼/精炼产能，2018年正式全面停产；官方及媒体报道原因主要为该冶炼/精炼设施老旧、环保合规(SO2新规)成本过高、以及Vale集团调整加工网络(改为将精矿外运至萨德伯里和纽芬兰Long Harbour加工)。,全球普查底表 · NI-105 · 总表第106行,library/global-register.csv
GL106,Copper Cliff Nickel Refinery (CCNR) 铜崖镍精炼厂（羰基法）,1973,投产,开始生产（底表投产年）,铜崖镍精炼厂（羰基法）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-106 · 总表第107行,library/global-register.csv
GL106,Copper Cliff Nickel Refinery (CCNR) 铜崖镍精炼厂（羰基法）,2026,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-106 · 总表第107行,library/global-register.csv
GL107,Long Harbour Processing Plant 朗哈伯（长港）湿法冶炼厂,2014,投产,开始生产（底表投产年）,朗哈伯（长港）湿法冶炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-107 · 总表第108行,library/global-register.csv
GL107,Long Harbour Processing Plant 朗哈伯（长港）湿法冶炼厂,2026,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-107 · 总表第108行,library/global-register.csv
GL108,Argentia Hydrometallurgical Demonstration/Commercial Plant (proposed; superseded by Long Harbour) 阿金夏（阿真蒂亚）湿法冶炼示范/商业化项目（未按原计划建成，后被Long Harbour取代）,2003,运营变化,项目中止(未建成),该商业规模方案(闪速熔炼+MCLE氯浸电积法)因故未按1996年原设计建成；2000年代初已缩减为示范装置方案，最终该示范方案本身似乎也未继续推进(2003年后USGS Minerals Yearbook不再提及)，纽芬兰与拉布拉多省转而与Vale谈判达成在Long Harbour建设全尺寸商业水冶厂的协议(2008年宣布，2014年投产)，Argentia方案被彻底取代。,全球普查底表 · NI-108 · 总表第109行,library/global-register.csv
GL109,Crawford Nickel-Cobalt Project & NetZero Metals Downstream Processing (planned) 克劳福德镍钴项目及NetZero Metals下游加工厂（规划中）,2026,运营变化,规划中或可研,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-109 · 总表第110行,library/global-register.csv
GL110,"American Nickel Works, Camden, New Jersey 美国镍业公司(卡姆登镍厂，约瑟夫·沃顿创办)",1863,投产,开始生产（底表投产年）,美国镍业公司(卡姆登镍厂，约瑟夫·沃顿创办)的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-110 · 总表第111行,library/global-register.csv
GL110,"American Nickel Works, Camden, New Jersey 美国镍业公司(卡姆登镍厂，约瑟夫·沃顿创办)",1905,运营变化,永久关闭,"1902年参与组建国际镍公司(INCO);1905年美国镍业公司正式并入奥福德铜业公司(Orford Copper Company),独立品牌与经营主体不再存续",全球普查底表 · NI-110 · 总表第111行,library/global-register.csv
GL111,"Orford Copper Company Refinery (Constable Hook, Bayonne, NJ) 奥福德铜业公司炼厂（新泽西州贝永市）",1892,投产,开始生产（底表投产年）,奥福德铜业公司炼厂（新泽西州贝永市）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-111 · 总表第112行,library/global-register.csv
GL111,"Orford Copper Company Refinery (Constable Hook, Bayonne, NJ) 奥福德铜业公司炼厂（新泽西州贝永市）",1922,运营变化,永久关闭,1918年加拿大Port Colborne电解精炼厂建成后，出于产业本土化(避免一战式对美依赖的重演)及成本考虑，Inco决定将电解镍生产集中至加拿大，1922年正式关闭Bayonne(Orford)炼厂。,全球普查底表 · NI-111 · 总表第112行,library/global-register.csv
GL112,"Hanna Nickel Smelting Co. / Glenbrook Nickel Co. Smelter (Riddle, Oregon / Nickel Mountain) 汉纳镍冶炼公司/格伦布鲁克镍业公司里德尔冶炼厂（俄勒冈州镍山）",1954,投产,开始生产（底表投产年）,汉纳镍冶炼公司/格伦布鲁克镍业公司里德尔冶炼厂（俄勒冈州镍山）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-112 · 总表第113行,library/global-register.csv
GL112,"Hanna Nickel Smelting Co. / Glenbrook Nickel Co. Smelter (Riddle, Oregon / Nickel Mountain) 汉纳镍冶炼公司/格伦布鲁克镍业公司里德尔冶炼厂（俄勒冈州镍山）",1998,运营变化,永久关闭,1987年首次关闭：红土矿资源枯竭及经济性下降。Glenbrook Nickel Co.其后收购该矿点(所有权登记年份，据Western Mining History为1992年；此前记录采用1990年，两者并列保留)，以消化约600万短吨库存低品位矿石为主。经本轮再次检索，1998年最终关闭年份(核查清单曾提示)仍未获得独立可核实来源确认，continues to be一个明确研究缺口——本研究未能推翻也未能证实这一年份，故按任务要求'两者皆保留'处理：一说该厂1998年前后最终停产(业内常见引用但缺乏一手来源)，另一说其停产时间与Glenbrook的矿石消化周期相关、未见明确终止年份的官方记录。,全球普查底表 · NI-112 · 总表第113行,library/global-register.csv
GL113,Westwin Elements Lawton Nickel-Cobalt Refinery (Pilot/Demonstration Plant) 西温元素公司劳顿镍钴精炼厂（中试/示范装置）,2024,投产,开始生产（底表投产年）,西温元素公司劳顿镍钴精炼厂（中试/示范装置）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-113 · 总表第114行,library/global-register.csv
GL113,Westwin Elements Lawton Nickel-Cobalt Refinery (Pilot/Demonstration Plant) 西温元素公司劳顿镍钴精炼厂（中试/示范装置）,2026,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-113 · 总表第114行,library/global-register.csv
GL114,Electra Battery Materials Nickel Sulphate Refinery (proposed) Electra电池材料公司硫酸镍精炼厂（拟建）,2026,运营变化,规划中或可研,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-114 · 总表第115行,library/global-register.csv
GL115,Missouri Cobalt / US Strategic Metals Battery Active Materials Plant 密苏里钴业/美国战略金属公司电池活性材料厂（含镍）,2026,运营变化,在建,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-115 · 总表第116行,library/global-register.csv
GL116,NorthMet Project Hydrometallurgical Plant (PolyMet / NewRange Copper Nickel) 北金属(NorthMet)项目湿法冶炼厂（PolyMet/新域铜镍，规划中）,2025,运营变化,规划中或可研,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-116 · 总表第117行,library/global-register.csv
GL117,Precision Periodic Central Florida Nickel-Cobalt-Manganese Refinery (proposed) Precision Periodic佛罗里达中部镍钴锰精炼厂（拟建）,2026,运营变化,规划中或可研,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-117 · 总表第118行,library/global-register.csv
GL118,Stillwater/Sibanye-Stillwater Columbus Base Metal Refinery (PGM by-product nickel) 斯蒂尔沃特/西班牙优山比耶-斯蒂尔沃特哥伦布贱金属精炼厂（铂族金属副产镍）,2026,运营变化,减产或部分停产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-118 · 总表第119行,library/global-register.csv
GL119,"Talon Metals Beulah Minerals Processing Facility (Tamarack Project processing plant, North Dakota) — CANCELLED 塔隆金属公司北达科他州比尤拉矿物加工厂（塔马拉克项目配套设施，已放弃）",2026,运营变化,项目中止(未建成),2026年9月Talon宣布转而利用其2026年1月从Lundin Mining收购的密歇根州Humboldt Mill(原Eagle矿选矿厂)现有基础设施加工Tamarack矿石，以'大幅降低前期资本开支和融资需求'，故放弃在北达科他州新建独立加工厂的原计划；公司称将于2026年底完成利用Humboldt Mill方案的可行性研究，原1.148亿美元DOE拨款能否转用于Humboldt方案尚存不确定性。,全球普查底表 · NI-119 · 总表第120行,library/global-register.csv
GL120,Westwin Elements Bryan County Nickel Refinery (proposed) 西温元素公司佐治亚州布莱恩县镍精炼厂（拟议中）,2026,运营变化,规划中或可研,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-120 · 总表第121行,library/global-register.csv
GL121,"Fenix Nickel Project (Pronico ferronickel plant / CGN mine, formerly Exmibal/Inco) 菲尼克斯镍项目（普罗尼科镍铁厂，原EXMIBAL/Inco矿）",1977,投产,开始生产（底表投产年）,菲尼克斯镍项目（普罗尼科镍铁厂，原EXMIBAL/Inco矿）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-121 · 总表第122行,library/global-register.csv
GL121,"Fenix Nickel Project (Pronico ferronickel plant / CGN mine, formerly Exmibal/Inco) 菲尼克斯镍项目（普罗尼科镍铁厂，原EXMIBAL/Inco矿）",2026,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-121 · 总表第122行,library/global-register.csv
GL122,Nicaro Nickel Plant (Comandante René Ramos Latour) 尼卡罗镍厂（雷内·拉莫斯·拉图尔镍厂）,1943,投产,开始生产（底表投产年）,尼卡罗镍厂（雷内·拉莫斯·拉图尔镍厂）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-122 · 总表第123行,library/global-register.csv
GL122,Nicaro Nickel Plant (Comandante René Ramos Latour) 尼卡罗镍厂（雷内·拉莫斯·拉图尔镍厂）,2012,运营变化,永久关闭,设备老化、能耗过高、经济性差；运营超70年后于2012年底关闭,全球普查底表 · NI-122 · 总表第123行,library/global-register.csv
GL123,Moa Nickel S.A. – Pedro Sotto Alba Plant 莫阿镍厂（佩德罗·索托·阿尔瓦厂）,1959,投产,开始生产（底表投产年）,莫阿镍厂（佩德罗·索托·阿尔瓦厂）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-123 · 总表第124行,library/global-register.csv
GL123,Moa Nickel S.A. – Pedro Sotto Alba Plant 莫阿镍厂（佩德罗·索托·阿尔瓦厂）,2026,运营变化,停产(可复产),底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-123 · 总表第124行,library/global-register.csv
GL124,Ernesto Che Guevara Nickel Plant (Punta Gorda) 蓬塔戈尔达镍厂（切·格瓦拉镍厂）,1986,投产,开始生产（底表投产年）,蓬塔戈尔达镍厂（切·格瓦拉镍厂）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-124 · 总表第125行,library/global-register.csv
GL124,Ernesto Che Guevara Nickel Plant (Punta Gorda) 蓬塔戈尔达镍厂（切·格瓦拉镍厂）,2026,运营变化,减产或部分停产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-124 · 总表第125行,library/global-register.csv
GL125,"Las Camariocas Plant (Comandante Camilo Cienfuegos, unfinished) 拉斯卡马里奥卡斯镍厂（卡米洛·西恩富戈斯镍厂，未完工）",2005,运营变化,项目中止(未建成),苏联解体导致原始建设资金中断；2004年中国五矿合资改造计划亦未完工（具体终止原因及是否正式终止未见披露）,全球普查底表 · NI-125 · 总表第126行,library/global-register.csv
GL126,San Felipe Nickel Project (planned) 圣费利佩镍项目（规划，卡马圭省）,2005,运营变化,不详,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-126 · 总表第127行,library/global-register.csv
GL127,Cerro Matoso Ferronickel Mine and Smelter 塞罗马托索镍铁厂,1982,投产,开始生产（底表投产年）,塞罗马托索镍铁厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-127 · 总表第128行,library/global-register.csv
GL127,Cerro Matoso Ferronickel Mine and Smelter 塞罗马托索镍铁厂,2026,运营变化,减产或部分停产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-127 · 总表第128行,library/global-register.csv
GL128,Falcondo (Falconbridge Dominicana) Ferronickel Plant 法尔康多镍铁厂（博纳奥）,1971,投产,开始生产（底表投产年）,法尔康多镍铁厂（博纳奥）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-128 · 总表第129行,library/global-register.csv
GL128,Falcondo (Falconbridge Dominicana) Ferronickel Plant 法尔康多镍铁厂（博纳奥）,2023,运营变化,停产(可复产),2023年骤然停产，具体直接诱因未在信源中明确说明（推测与长期镍价低迷、企业财务/破产程序相关），目前处于破产清算及劳资遣散费追讨程序中,全球普查底表 · NI-128 · 总表第129行,library/global-register.csv
GL129,Loma de Níquel Ferronickel Plant 洛马德尼克尔镍铁厂,2000,投产,开始生产（底表投产年）,洛马德尼克尔镍铁厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-129 · 总表第130行,library/global-register.csv
GL129,Loma de Níquel Ferronickel Plant 洛马德尼克尔镍铁厂,2015,运营变化,停产(可复产),2015年9月停产，具体直接原因未在信源中充分说明（委内瑞拉经济危机、外汇管制、国有化后管理问题等因素可能相关，但未见确切归因表述）,全球普查底表 · NI-129 · 总表第130行,library/global-register.csv
GL130,Morro do Níquel Plant 莫罗-多-尼克尔镍厂,1966,投产,开始生产（底表投产年）,莫罗-多-尼克尔镍厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-130 · 总表第131行,library/global-register.csv
GL130,Morro do Níquel Plant 莫罗-多-尼克尔镍厂,1998,运营变化,永久关闭,未在信源中明确说明具体关闭原因,全球普查底表 · NI-130 · 总表第131行,library/global-register.csv
GL131,Companhia Níquel Tocantins (CNT) Caron Plant 托坎廷斯镍公司（尼克兰迪亚Caron氨浸厂）,1981,投产,开始生产（底表投产年）,托坎廷斯镍公司（尼克兰迪亚Caron氨浸厂）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-131 · 总表第132行,library/global-register.csv
GL131,Companhia Níquel Tocantins (CNT) Caron Plant 托坎廷斯镍公司（尼克兰迪亚Caron氨浸厂）,2016,运营变化,永久关闭,2015年镍价年内下跌约40%，公司评估各情景均不具备中短期经济可行性；2016年2月1日起停止尼克兰迪亚端采矿，5月起停止选矿及圣保罗端精炼作业，直接裁员约800人（不含分包商）,全球普查底表 · NI-131 · 总表第132行,library/global-register.csv
GL132,Codemin Ferronickel Plant (Niquelândia) 科德明镍铁厂（尼克兰迪亚）,1982,投产,开始生产（底表投产年）,科德明镍铁厂（尼克兰迪亚）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-132 · 总表第133行,library/global-register.csv
GL132,Codemin Ferronickel Plant (Niquelândia) 科德明镍铁厂（尼克兰迪亚）,2026,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-132 · 总表第133行,library/global-register.csv
GL133,Mineração Serra da Fortaleza (Fortaleza de Minas Nickel Matte Smelter) 福塔莱萨-德米纳斯镍厂（塞拉福塔莱萨矿业）,1997,投产,开始生产（底表投产年）,福塔莱萨-德米纳斯镍厂（塞拉福塔莱萨矿业）的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-133 · 总表第134行,library/global-register.csv
GL133,Mineração Serra da Fortaleza (Fortaleza de Minas Nickel Matte Smelter) 福塔莱萨-德米纳斯镍厂（塞拉福塔莱萨矿业）,2013,运营变化,永久关闭,2013年镍价暴跌，公司评估各情景均不具备短中期经济可行性，宣布不可抗力并全面停产,全球普查底表 · NI-133 · 总表第134行,library/global-register.csv
GL134,Barro Alto Ferronickel Plant 巴罗阿尔托镍铁厂,2011,投产,开始生产（底表投产年）,巴罗阿尔托镍铁厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-134 · 总表第135行,library/global-register.csv
GL134,Barro Alto Ferronickel Plant 巴罗阿尔托镍铁厂,2026,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-134 · 总表第135行,library/global-register.csv
GL135,Onça Puma Ferronickel Plant 翁萨普马镍铁厂,2011,投产,开始生产（底表投产年）,翁萨普马镍铁厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-135 · 总表第136行,library/global-register.csv
GL135,Onça Puma Ferronickel Plant 翁萨普马镍铁厂,2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-135 · 总表第136行,library/global-register.csv
GL136,Araguaia Ferronickel Project (Horizonte Minerals) 阿拉瓜亚镍铁项目,2024,运营变化,保养维护(C&M),2024年4月融资失败（接触150余方潜在投资者未果），资本开支较原预算上涨约87%（5.37亿→10亿美元），管理层认为印尼镍供应格局下市场对镍铁行业复苏缺乏信心,全球普查底表 · NI-136 · 总表第137行,library/global-register.csv
MHP043,Piauí Níquel Metais S.A. 皮奥伊镍项目,2026,运营变化,规划中或可研,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-137 · 总表第138行,library/global-register.csv
GL138,São Miguel Paulista Electrolytic Nickel Refinery 圣米格尔保利斯塔电解镍精炼厂,2016,运营变化,停产(可复产),随原料供应厂CNT厂（尼克兰迪亚）因镍价暴跌转入保养维护/停产而同步停运（USGS给出2015年版即已停产，巴西本地媒体给出2016年5月停产，两口径均列出）,全球普查底表 · NI-138 · 总表第139行,library/global-register.csv
GL139,Vermelho Nickel-Cobalt Project (Horizonte Minerals) 维尔梅柳镍钴项目,2024,运营变化,项目中止(未建成),底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-139 · 总表第140行,library/global-register.csv
GL140,Impala Refining Services Base Metals Refinery (Springs) 英帕拉铂业斯普林斯贱金属精炼厂,1974,投产,开始生产（底表投产年）,英帕拉铂业斯普林斯贱金属精炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-140 · 总表第141行,library/global-register.csv
